Категория,Подкатегория,"Наименование (марка, ширина, размеры, полка, диаметр)","Хар-ка (размер, диаметр, толщина, стенка, ширина, длина, полка)",Единица измерения,Цена
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст20 обр,18 | 20| 25| 36| 40| 50,т,88382
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст35,10 | 12| 16,т,100574
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст35,20 | 25| 30| 40,т,101590
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст35 н/обр,8,т,91430
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст35 н/обр,10 | 12,т,100574
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст35 н/обр,50,т,101590
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст35 н/обр,60,т,104638
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45,6 | 8| 10| 12,т,100574
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45,14 | 16,т,81270
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45,20,т,97526
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45,25,т,101590
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45,30 | 40,т,97526
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/ обр,2,т,132070
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/обр,3,т,120894
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/обр,4,т,98542
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/обр,5 | 6| 8| 10| 12,т,100574
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/обр,50,т,97526
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/обр,60,т,116830
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 н/обр,70 | 80| 90,т,137150
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст45 обр,45,т,107686
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г,3,т,162550
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г,4,т,132070
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г,20,т,121910
Листовой прокат,СТАЛЬ ЛИСТ Г-К КОНСТРУКЦИОННАЯ,Ст65Г н/обр,2.5,т,162550
